TokenID,description,name,home_url,shopstatusvalue,deliverablevalue,colorvalue
151,"Crypto stamp Edition 1 (CS1), ID 2FePrW","Crypto stamp 2FePrW",https://test.crypto.post.at/CS1/2FePrW,None,0,black
152,"Crypto stamp Edition 1 (CS1), ID 3s3ccF","Crypto stamp 3s3ccF",https://test.crypto.post.at/CS1/3s3ccF,None,0,green
153,"Crypto stamp Edition 1 (CS1), ID 4RfLor","Crypto stamp 4RfLor",https://test.crypto.post.at/CS1/4RfLor,None,0,green
154,"Crypto stamp Edition 1 (CS1), ID 72t5Z3","Crypto stamp 72t5Z3",https://test.crypto.post.at/CS1/72t5Z3,None,0,black
155,"Crypto stamp Edition 1 (CS1), ID 29iSjC","Crypto stamp 29iSjC",https://test.crypto.post.at/CS1/29iSjC,None,0,black
156,"Crypto stamp Edition 1 (CS1), ID 7AJ1xo","Crypto stamp 7AJ1xo",https://test.crypto.post.at/CS1/7AJ1xo,None,0,blue
157,"Crypto stamp Edition 1 (CS1), ID 4c3FnL","Crypto stamp 4c3FnL",https://test.crypto.post.at/CS1/4c3FnL,None,0,black
158,"Crypto stamp Edition 1 (CS1), ID 3ajkWZ","Crypto stamp 3ajkWZ",https://test.crypto.post.at/CS1/3ajkWZ,None,0,green
159,"Crypto stamp Edition 1 (CS1), ID 3p5e3g","Crypto stamp 3p5e3g",https://test.crypto.post.at/CS1/3p5e3g,None,0,green
160,"Crypto stamp Edition 1 (CS1), ID fYgNj","Crypto stamp fYgNj",https://test.crypto.post.at/CS1/fYgNj,None,0,black
161,"Crypto stamp Edition 1 (CS1), ID 2yA3kL","Crypto stamp 2yA3kL",https://test.crypto.post.at/CS1/2yA3kL,None,0,green
162,"Crypto stamp Edition 1 (CS1), ID 5RUroT","Crypto stamp 5RUroT",https://test.crypto.post.at/CS1/5RUroT,None,0,black
163,"Crypto stamp Edition 1 (CS1), ID 2ZSFEr","Crypto stamp 2ZSFEr",https://test.crypto.post.at/CS1/2ZSFEr,None,0,blue
164,"Crypto stamp Edition 1 (CS1), ID 5w8cSP","Crypto stamp 5w8cSP",https://test.crypto.post.at/CS1/5w8cSP,None,0,blue
165,"Crypto stamp Edition 1 (CS1), ID 2avEXE","Crypto stamp 2avEXE",https://test.crypto.post.at/CS1/2avEXE,None,0,green
166,"Crypto stamp Edition 1 (CS1), ID 2ti5uP","Crypto stamp 2ti5uP",https://test.crypto.post.at/CS1/2ti5uP,None,0,blue
167,"Crypto stamp Edition 1 (CS1), ID 33c1bU","Crypto stamp 33c1bU",https://test.crypto.post.at/CS1/33c1bU,None,0,green
168,"Crypto stamp Edition 1 (CS1), ID 4NhNFR","Crypto stamp 4NhNFR",https://test.crypto.post.at/CS1/4NhNFR,None,0,green
169,"Crypto stamp Edition 1 (CS1), ID 4uq7Ag","Crypto stamp 4uq7Ag",https://test.crypto.post.at/CS1/4uq7Ag,None,0,black
170,"Crypto stamp Edition 1 (CS1), ID 7Ejyp5","Crypto stamp 7Ejyp5",https://test.crypto.post.at/CS1/7Ejyp5,None,0,black
171,"Crypto stamp Edition 1 (CS1), ID 5Sxtz","Crypto stamp 5Sxtz",https://test.crypto.post.at/CS1/5Sxtz,None,0,green
172,"Crypto stamp Edition 1 (CS1), ID 2EAQaX","Crypto stamp 2EAQaX",https://test.crypto.post.at/CS1/2EAQaX,None,0,blue
173,"Crypto stamp Edition 1 (CS1), ID 5w8cSY","Crypto stamp 5w8cSY",https://test.crypto.post.at/CS1/5w8cSY,None,0,black
174,"Crypto stamp Edition 1 (CS1), ID 53F3aV","Crypto stamp 53F3aV",https://test.crypto.post.at/CS1/53F3aV,None,0,blue
175,"Crypto stamp Edition 1 (CS1), ID 5rgebY","Crypto stamp 5rgebY",https://test.crypto.post.at/CS1/5rgebY,None,0,green
176,"Crypto stamp Edition 1 (CS1), ID 4KjPgs","Crypto stamp 4KjPgs",https://test.crypto.post.at/CS1/4KjPgs,None,0,black
177,"Crypto stamp Edition 1 (CS1), ID 5tAdsv","Crypto stamp 5tAdsv",https://test.crypto.post.at/CS1/5tAdsv,None,0,black
178,"Crypto stamp Edition 1 (CS1), ID 4CKTHB","Crypto stamp 4CKTHB",https://test.crypto.post.at/CS1/4CKTHB,None,0,black
179,"Crypto stamp Edition 1 (CS1), ID 5epkLr","Crypto stamp 5epkLr",https://test.crypto.post.at/CS1/5epkLr,None,0,yellow
180,"Crypto stamp Edition 1 (CS1), ID 6aCJVH","Crypto stamp 6aCJVH",https://test.crypto.post.at/CS1/6aCJVH,None,0,black
181,"Crypto stamp Edition 1 (CS1), ID 46PW9r","Crypto stamp 46PW9r",https://test.crypto.post.at/CS1/46PW9r,None,0,black
182,"Crypto stamp Edition 1 (CS1), ID 3MPrys","Crypto stamp 3MPrys",https://test.crypto.post.at/CS1/3MPrys,None,0,green
183,"Crypto stamp Edition 1 (CS1), ID 5w8cSi","Crypto stamp 5w8cSi",https://test.crypto.post.at/CS1/5w8cSi,None,0,black
184,"Crypto stamp Edition 1 (CS1), ID 5dLm4b","Crypto stamp 5dLm4b",https://test.crypto.post.at/CS1/5dLm4b,None,0,black
185,"Crypto stamp Edition 1 (CS1), ID 2qk7M2","Crypto stamp 2qk7M2",https://test.crypto.post.at/CS1/2qk7M2,None,0,green
186,"Crypto stamp Edition 1 (CS1), ID 5KYugV","Crypto stamp 5KYugV",https://test.crypto.post.at/CS1/5KYugV,None,0,green
187,"Crypto stamp Edition 1 (CS1), ID jzeEE","Crypto stamp jzeEE",https://test.crypto.post.at/CS1/jzeEE,None,0,black
